"Wilaya","Population","GAM_Agencies","Final_Priority_Score","D","G","C","R","Attractivite","Region","Region_Rank"
"ALGER","3282979","38","1.000","1.000","1.000","0.000","0.500","Plus Attractive","Middle","1"
"DJELFA","1595794","0","0.820","0.655","0.576","0.951","0.212","Plus Attractive","South","2"
"TIARET","1062656","2","0.705","0.615","0.363","0.954","0.212","Plus Attractive","West","3"
"SETIF","1866845","18","0.693","0.541","0.577","0.812","0.258","Plus Attractive","East","4"
"ORAN","2118603","9","0.652","0.490","0.723","0.685","0.237","Moyennement Attractive","West","3"
"CHLEF","1356151","4","0.644","0.311","0.463","0.938","0.583","Moyennement Attractive","Middle","1"
"SKIKDA","1095666","6","0.618","0.267","0.353","0.905","0.750","Moyennement Attractive","East","4"
"TLEMCEN","1101383","1","0.602","0.425","0.383","0.905","0.362","Moyennement Attractive","West","3"
"JIJEL","789667","2","0.597","0.251","0.259","0.940","0.787","Moyennement Attractive","East","4"
"TIZI OUZOU","1198561","17","0.581","0.353","0.329","0.750","0.662","Moyennement Attractive","Middle","1"
"TIPAZA","706054","3","0.578","0.254","0.222","0.917","0.792","Moyennement Attractive","Middle","1"
"CONSTANTINE","1291579","13","0.560","0.448","0.387","0.765","0.346","Moyennement Attractive","East","4"
"BATNA","1377000","8","0.549","0.452","0.448","0.845","0.171","Moyennement Attractive","East","4"
"BOUMERDES","960315","4","0.549","0.225","0.313","0.895","0.708","Moyennement Attractive","Middle","1"
"M'SILA","1336958","2","0.529","0.408","0.467","0.948","0.087","Moyennement Attractive","South","2"
"BLIDA","1348674","6","0.512","0.358","0.449","0.847","0.263","Moyennement Attractive","Middle","1"
"BOUIRA","798392","1","0.507","0.313","0.268","0.939","0.429","Moyennement Attractive","Middle","1"
"BEJAIA","984050","11","0.506","0.260","0.282","0.794","0.662","Moyennement Attractive","Middle","1"
"ANNABA","793172","4","0.486","0.270","0.249","0.838","0.583","Moyennement Attractive","East","4"
"MASCARA","985793","1","0.473","0.394","0.339","0.961","0.087","Moyennement Attractive","West","3"
"MEDEA","1062134","3","0.471","0.350","0.357","0.939","0.175","Moyennement Attractive","Middle","1"
"MILA","991493","9","0.464","0.349","0.296","0.902","0.258","Moyennement Attractive","East","4"
"MOSTAGANEM","892165","2","0.462","0.298","0.298","0.930","0.325","Moyennement Attractive","West","3"
"AIN DEFLA","912798","5","0.461","0.241","0.289","0.942","0.433","Moyennement Attractive","Middle","1"
"GUELMA","556673","5","0.437","0.222","0.154","0.934","0.554","Moyennement Attractive","East","4"
"TEBESSA","781247","4","0.427","0.386","0.245","0.956","0.087","Moyennement Attractive","East","4"
"BORDJ BOU ARRERIDJ","730703","7","0.418","0.313","0.209","0.947","0.258","Moyennement Attractive","East","4"
"RELIZANE","959958","0","0.416","0.288","0.335","0.947","0.175","Moyennement Attractive","West","3"
"BISKRA","951981","3","0.394","0.328","0.315","0.918","0.087","Moyennement Attractive","South","2"
"OUM EL BOUAGHI","782188","1","0.375","0.314","0.262","0.954","0.087","Moyennement Attractive","East","4"
"EL TARF","481136","2","0.368","0.156","0.142","0.962","0.496","Moyennement Attractive","East","4"
"SIDI BEL ABBES","713377","1","0.359","0.318","0.236","0.930","0.087","Moyennement Attractive","West","3"
"SAIDA","406893","0","0.351","0.332","0.126","0.992","0.087","Moyennement Attractive","West","3"
"LAGHOUAT","686160","1","0.346","0.288","0.226","0.969","0.087","Moyennement Attractive","South","2"
"SOUK AHRAS","533120","1","0.344","0.231","0.168","0.964","0.258","Moyennement Attractive","East","4"
"GHARDAIA","477953","0","0.342","0.310","0.153","0.951","0.125","Moyennement Attractive","South","2"
"AIN TEMOUCHENT","432353","0","0.341","0.251","0.135","0.972","0.237","Moyennement Attractive","West","3"
"OUARGLA","708463","2","0.339","0.339","0.229","0.934","0.000","Moyennement Attractive","South","2"
"EL BAYADH","341665","1","0.328","0.195","0.095","0.990","0.338","Moins Attractive","South","2"
"KHENCHELA","489500","0","0.302","0.228","0.157","0.965","0.171","Moins Attractive","East","4"
"EL OUED","900000","3","0.265","0.201","0.295","0.955","0.000","Moins Attractive","South","2"
"NAAMA","289045","0","0.214","0.124","0.081","0.986","0.212","Moins Attractive","South","2"
"ADRAR","529274","0","0.204","0.179","0.172","0.972","0.000","Moins Attractive","South","2"
"TISSEMSILT","362229","1","0.191","0.101","0.103","0.989","0.175","Moins Attractive","West","3"
"BECHAR","353591","0","0.187","0.132","0.105","0.965","0.125","Moins Attractive","South","2"
"TAMANRASSET","245256","1","0.099","0.032","0.059","0.990","0.125","Moins Attractive","South","2"
"TINDOUF","97578","0","0.061","0.005","0.008","1.000","0.125","Moins Attractive","South","2"
"ILLIZI","75770","0","0.000","0.000","0.000","0.989","0.000","Moins Attractive","South","2"
