wilaya,Region,CAAT,CAAR,SAA,TRUST,CASH,CIAR,GAM,AMANA,Competitor Count
ADRAR,Sud,1,1,5,1,0,4,0,0,12
CHLEF,Centre,2,2,10,6,1,4,4,1,26
LAGHOUAT,Sud,1,1,4,2,0,5,1,1,14
OUM EL BOUAGHI,Est,2,4,4,3,0,7,1,0,20
BATNA,Est,6,5,17,23,1,11,8,2,65
BEJAIA,Centre,6,5,32,19,2,10,11,3,77
BISKRA,Est,1,1,9,15,1,9,3,0,36
BECHAR,Sud,1,1,8,1,0,2,0,1,14
BLIDA,Centre,5,1,15,6,1,26,6,0,54
BOUIRA,Centre,6,3,9,1,1,4,1,0,24
TAMANRASSET,Sud,1,0,2,0,0,3,1,0,6
TEBESSA,Est,3,3,4,4,1,5,4,1,21
TLEMCEN,Ouest,7,5,14,1,1,3,1,7,38
TIARET,Ouest,2,1,6,2,1,6,2,2,20
TIZI OUZOU,Centre,6,7,46,2,1,10,17,11,83
ALGER,Centre,43,41,94,37,12,107,38,36,370
DJELFA,Sud,2,1,5,3,0,9,0,0,20
JIJEL,Est,2,3,10,2,1,5,2,0,23
SETIF,Est,8,2,21,16,1,21,18,2,71
SAIDA,Ouest,2,1,2,0,0,1,0,0,6
SKIKDA,Est,3,7,10,7,1,9,6,2,39
SIDI BEL ABBES,Ouest,3,3,12,1,1,5,1,1,26
ANNABA,Est,7,7,20,8,4,13,4,4,63
GUELMA,Est,1,2,10,7,1,6,5,0,27
CONSTANTINE,Est,16,12,26,10,3,20,13,0,87
MEDEA,Centre,3,1,11,4,0,4,3,0,23
MOSTAGANEM,Ouest,2,1,11,4,1,6,2,3,28
M'SILA,Est,2,2,8,11,0,1,2,1,25
MASCARA,Ouest,2,1,7,2,0,3,1,1,16
OUARGLA,Sud,3,4,6,4,2,9,2,0,28
ORAN,Ouest,14,6,35,12,3,36,9,7,113
EL BAYADH,Sud,1,0,2,0,0,3,1,0,6
ILLIZI,Sud,1,0,3,0,0,2,0,0,6
BORDJ BOU ARRERIDJ,Est,5,3,2,5,1,8,7,2,26
BOUMERDES,Centre,3,1,13,4,1,15,4,1,38
EL TARF,Est,1,2,6,3,0,4,2,0,16
TINDOUF,Sud,1,0,1,0,0,1,0,0,3
TISSEMSILT,Ouest,1,1,2,1,0,2,1,0,7
EL OUED,Sud,1,1,7,2,1,6,3,0,18
KHENCHELA,Est,1,1,3,6,1,6,0,0,18
SOUK AHRAS,Est,1,1,3,5,0,7,1,0,17
TIPAZA,Centre,2,3,9,5,1,11,3,2,33
MILA,Est,4,2,12,10,1,10,9,0,39
AIN DEFLA,Centre,2,1,6,5,0,9,5,1,24
NAAMA,Sud,1,0,3,0,0,3,0,0,7
AIN TEMOUCHENT,Ouest,2,1,5,1,0,2,0,2,13
GHARDAIA,Sud,3,1,6,2,1,7,0,0,20
RELIZANE,Ouest,3,1,8,2,1,6,0,0,21
