wilaya,Population,GAM_Agencies,Final_Priority_Score,D,G,C
ALGER,2562428,38,0.75,1,1,0
SETIF,1311413,18,0.559495667,0.455084572,0.516113522,0.8117
ORAN,1213839,9,0.53334131,0.456504487,0.535156266,0.6852
DJELFA,797706,0,0.497997782,0.324639151,0.392112826,0.9506
TIZI OUZOU,1108708,17,0.497017823,0.408732028,0.420607235,0.75
TLEMCEN,842053,1,0.496725813,0.337379182,0.407044889,0.9051
CONSTANTINE,810914,13,0.483746986,0.435336404,0.299615136,0.7647
TIARET,725853,2,0.478028256,0.30906204,0.340288943,0.9537
MASCARA,676192,1,0.47090693,0.29978733,0.32265306,0.9614
BLIDA,784283,6,0.467349272,0.341353488,0.339490111,0.8472
CHLEF,858695,4,0.460871324,0.256684628,0.392616039,0.9375
BOUIRA,629560,1,0.456328399,0.293693694,0.298926206,0.939
OUARGLA,445619,2,0.455937956,0.345824449,0.197702924,0.9344
BATNA,962623,8,0.455272686,0.280611838,0.41496707,0.8449
M'SILA,805519,2,0.454803442,0.245444962,0.380823846,0.9475
MOSTAGANEM,631057,2,0.451290784,0.291653699,0.292055737,0.9298
MEDEA,802078,3,0.448162499,0.241104563,0.37144087,0.939
MILA,674480,9,0.441257527,0.301152699,0.260724709,0.902
JIJEL,573208,2,0.440315079,0.279419381,0.262621555,0.9398
TEBESSA,549066,4,0.436404032,0.277271297,0.235073533,0.956
BORDJ BOU ARRERIDJ,555402,7,0.432041696,0.282982951,0.215400882,0.9468
SKIKDA,786154,6,0.431301341,0.239831635,0.340442095,0.9051
GHARDAIA,300516,0,0.427275372,0.309282094,0.139137302,0.9514
TIPAZA,506053,3,0.420902731,0.272695351,0.220820223,0.9174
RELIZANE,642205,0,0.4195771,0.209258064,0.312992274,0.9468
BEJAIA,856840,11,0.418853575,0.271583607,0.338247087,0.794
AIN DEFLA,660342,5,0.413496413,0.213912937,0.284059779,0.9421
ANNABA,557818,4,0.412598744,0.286434166,0.239526643,0.838
BOUMERDES,647389,4,0.408740208,0.227379759,0.285101314,0.8951
AIN TEMOUCHENT,327331,0,0.395756427,0.229022326,0.152781057,0.9722
OUM EL BOUAGHI,519170,1,0.395039727,0.191850151,0.242758608,0.9537
BISKRA,575858,3,0.39229873,0.197328589,0.256337744,0.9182
SAIDA,279526,0,0.388922406,0.217866127,0.128457368,0.9915
SIDI BEL ABBES,525632,1,0.388349475,0.188775679,0.246046542,0.9298
SOUK AHRAS,367455,1,0.359431314,0.154230421,0.165564413,0.9637
GUELMA,430000,5,0.358121381,0.166013094,0.166859336,0.9336
EL TARF,352588,2,0.353796673,0.151309463,0.150367768,0.9622
KHENCHELA,327917,0,0.352443264,0.146096917,0.15307922,0.9645
ADRAR,311615,0,0.35029836,0.142454424,0.14478459,0.9715
LAGHOUAT,317125,1,0.349060102,0.143592214,0.139955978,0.9691
EL OUED,504401,3,0.344694866,0.101799898,0.219979668,0.9552
BECHAR,225546,0,0.328809998,0.124874109,0.100991774,0.9645
TISSEMSILT,264240,1,0.299290715,0.047457665,0.113047531,0.9892
EL BAYADH,168789,1,0.277716052,0.028191577,0.064481054,0.99
TAMANRASSET,137175,1,0.270990326,0.022782894,0.048395517,0.99
NAAMA,127314,0,0.269449998,0.020344849,0.051010294,0.9861
TINDOUF,27060,0,0.250049336,9.87E-05,0,1
ILLIZI,34108,0,0.248891492,0.001389936,0.003586097,0.9892
